idTransaction,dateTransaction,montantTransaction,etat,idBeneficiaire,idFournisseur
"41","2026-01-13 11:33:09","3","0","1453","2245"
"42","2026-01-13 11:33:09","2","1","765","1003"
"43","2026-01-13 11:33:09","6","1","1402","1946"
"44","2026-01-13 11:33:09","3","0","2291","2805"
"45","2026-01-13 11:33:09","10","1","1985","1190"
"46","2026-01-13 11:33:09","6","1","2006","840"
"47","2026-01-13 11:33:09","3","1","667","1546"
"48","2026-01-13 11:33:09","5","1","2831","2145"
"49","2026-01-13 11:33:09","5","1","243","386"
"50","2026-01-13 11:33:09","10","0","585","1750"
"51","2026-01-13 11:33:09","1","1","924","2147"
"52","2026-01-13 11:33:09","5","0","2912","1150"
"53","2026-01-13 11:33:09","5","1","405","490"
"54","2026-01-13 11:33:09","8","0","3072","1300"
"55","2026-01-13 11:33:09","6","1","712","2692"
"56","2026-01-13 11:33:09","5","0","2053","1320"
"57","2026-01-13 11:33:09","6","1","3178","1193"
"58","2026-01-13 11:33:09","2","0","243","2161"
"59","2026-01-13 11:33:09","6","1","2584","1232"
"60","2026-01-13 11:33:09","6","1","3189","895"
"61","2026-01-13 11:33:09","9","1","1211","495"
"62","2026-01-13 11:33:09","10","1","373","398"
"63","2026-01-13 11:33:09","3","1","3188","3125"
"64","2026-01-13 11:33:09","3","1","3147","2934"
"65","2026-01-13 11:33:09","5","1","1050","3203"
"66","2026-01-13 11:33:09","9","1","1701","991"
"67","2026-01-13 11:33:09","7","1","1821","281"
"68","2026-01-13 11:33:09","7","1","3207","2744"
"69","2026-01-13 11:33:09","2","1","2393","1813"
"70","2026-01-13 11:33:10","3","1","956","2813"
"71","2026-01-13 11:33:10","4","1","799","1359"
"72","2026-01-13 11:33:10","6","1","3024","1391"
"73","2026-01-13 11:33:10","9","0","2507","177"
"74","2026-01-13 11:33:10","2","1","1399","1430"
"75","2026-01-13 11:33:10","4","1","120","2552"
"76","2026-01-13 11:33:10","2","0","1162","2792"
"77","2026-01-13 11:33:10","9","1","1894","814"
"78","2026-01-13 11:33:10","2","1","2279","2933"
"79","2026-01-13 11:33:10","6","1","1556","89"
"80","2026-01-13 11:33:10","6","0","2388","2777"
"81","2026-01-13 11:33:10","4","0","2867","1850"
"82","2026-01-13 11:33:10","3","1","3217","2984"
"83","2026-01-13 11:33:10","5","1","1150","242"
"84","2026-01-13 11:33:10","10","0","373","1012"
"85","2026-01-13 11:33:10","4","1","1483","765"
"86","2026-01-13 11:33:10","4","1","1523","484"
"87","2026-01-13 11:33:10","7","0","2150","659"
"88","2026-01-13 11:33:10","3","1","651","3216"
"89","2026-01-13 11:33:10","10","0","2501","2913"
"90","2026-01-13 11:33:10","7","1","1635","1818"
"91","2026-01-13 11:33:10","7","0","1475","956"
"92","2026-01-13 11:33:10","8","1","105","491"
"93","2026-01-13 11:33:10","4","1","3015","751"
"94","2026-01-13 11:33:10","9","1","2331","1111"
"95","2026-01-13 11:33:10","10","1","1749","277"
"96","2026-01-13 11:33:10","9","1","919","1658"
"97","2026-01-13 11:33:10","2","1","149","2696"
"98","2026-01-13 11:33:10","1","0","3035","555"
"99","2026-01-13 11:33:10","3","1","2405","1974"
"100","2026-01-13 11:33:10","5","0","2144","1988"
"101","2026-01-13 11:33:10","2","0","638","1828"
"102","2026-01-13 11:33:10","8","1","1565","2543"
"103","2026-01-13 11:33:10","5","1","1627","723"
"104","2026-01-13 11:33:10","5","1","1264","1844"
"105","2026-01-13 11:33:10","1","1","1751","602"
"106","2026-01-13 11:33:10","5","0","1599","409"
"107","2026-01-13 11:33:10","10","0","3263","1316"
"108","2026-01-13 11:33:10","9","1","2938","1375"
"109","2026-01-13 11:33:10","1","1","9","1532"
"110","2026-01-13 11:33:10","4","1","1614","696"
"111","2026-01-13 11:33:10","1","1","2861","1045"
"112","2026-01-13 11:33:10","7","1","462","2076"
"113","2026-01-13 11:33:10","9","0","71","785"
"114","2026-01-13 11:33:10","5","1","3285","1098"
"115","2026-01-13 11:33:10","1","1","872","3022"
"116","2026-01-13 11:33:10","8","1","2883","863"
"117","2026-01-13 11:33:10","10","1","1623","950"
"118","2026-01-13 11:33:10","1","0","3116","2594"
"119","2026-01-13 11:33:10","1","1","709","2605"
"120","2026-01-13 11:33:10","10","1","668","3324"
"121","2026-01-13 11:33:10","6","1","1647","2274"
"122","2026-01-13 11:33:10","6","1","665","686"
"123","2026-01-13 11:33:10","7","1","1259","958"
"124","2026-01-13 11:33:10","2","1","1247","2997"
"125","2026-01-13 11:33:10","8","0","2375","216"
"126","2026-01-13 11:33:10","8","1","354","1112"
"127","2026-01-13 11:33:10","9","1","2286","629"
"128","2026-01-13 11:33:10","10","1","2169","2230"
"129","2026-01-13 11:33:10","1","0","2046","642"
"130","2026-01-13 11:33:10","1","1","2593","2680"
"131","2026-01-13 11:33:10","5","1","174","641"
"132","2026-01-13 11:33:10","9","1","2795","2798"
"133","2026-01-13 11:33:10","3","1","1331","1101"
"134","2026-01-13 11:33:10","7","0","24","723"
"135","2026-01-13 11:33:10","6","1","433","2193"
"136","2026-01-13 11:33:10","9","1","3069","107"
"137","2026-01-13 11:33:10","1","1","914","2301"
"138","2026-01-13 11:33:10","1","1","1614","659"
"139","2026-01-13 11:33:10","7","1","2750","2883"
"140","2026-01-13 11:33:10","6","1","2372","2009"
"141","2026-01-13 11:33:10","8","1","918","2103"
"142","2026-01-13 11:33:10","3","1","2554","1932"
"143","2026-01-13 11:33:10","7","1","1596","2098"
"144","2026-01-13 11:33:10","7","1","570","2916"
"145","2026-01-13 11:33:10","7","1","2762","317"
"146","2026-01-13 11:33:10","2","1","1113","2296"
"147","2026-01-13 11:33:10","3","1","1286","1675"
"148","2026-01-13 11:33:10","10","1","898","1823"
"149","2026-01-13 11:33:10","10","1","532","2785"
"150","2026-01-13 11:33:10","3","1","2824","896"
"151","2026-01-13 11:33:10","8","1","2042","1504"
"152","2026-01-13 11:33:10","5","1","1444","3175"
"153","2026-01-13 11:33:10","1","0","3031","555"
"154","2026-01-13 11:33:10","6","1","2668","3113"
"155","2026-01-13 11:33:10","5","1","2945","2683"
"156","2026-01-13 11:33:10","6","1","555","1527"
"157","2026-01-13 11:33:10","2","1","1730","2870"
"158","2026-01-13 11:33:10","9","1","1797","754"
"159","2026-01-13 11:33:10","9","1","2956","2597"
"160","2026-01-13 11:33:10","10","1","1585","2897"
"161","2026-01-13 11:33:10","10","1","642","3308"
"162","2026-01-13 11:33:10","5","1","1886","3324"
"163","2026-01-13 11:33:10","6","1","1312","2039"
"164","2026-01-13 11:33:10","6","1","462","98"
"165","2026-01-13 11:33:10","2","1","2122","1616"
"166","2026-01-13 11:33:10","3","1","182","3043"
"167","2026-01-13 11:33:10","2","1","449","2900"
"168","2026-01-13 11:33:10","9","0","2556","1569"
"169","2026-01-13 11:33:10","10","1","363","3275"
"170","2026-01-13 11:33:10","7","1","508","2720"
"171","2026-01-13 11:33:10","7","0","1531","998"
"172","2026-01-13 11:33:10","9","1","458","1963"
"173","2026-01-13 11:33:10","9","0","2950","2449"
"174","2026-01-13 11:33:10","6","0","1265","791"
"175","2026-01-13 11:33:10","5","1","1618","2832"
"176","2026-01-13 11:33:10","5","1","2267","554"
"177","2026-01-13 11:33:10","3","1","2987","402"
"178","2026-01-13 11:33:10","9","1","1006","2939"
"179","2026-01-13 11:33:10","1","1","2871","2276"
"180","2026-01-13 11:33:10","7","1","2","2366"
"181","2026-01-13 11:33:10","3","1","1349","648"
"182","2026-01-13 11:33:10","8","1","2498","447"
"183","2026-01-13 11:33:10","5","1","918","840"
"184","2026-01-13 11:33:10","6","1","2473","1618"
"185","2026-01-13 11:33:10","9","1","455","130"
"186","2026-01-13 11:33:10","5","0","2313","130"
"187","2026-01-13 11:33:10","9","0","2996","507"
"188","2026-01-13 11:33:10","5","1","400","41"
"189","2026-01-13 11:33:10","5","1","868","2937"
"190","2026-01-13 11:33:10","5","1","1800","834"
"191","2026-01-13 11:33:10","7","1","433","1450"
"192","2026-01-13 11:33:10","6","1","2554","3186"
"193","2026-01-13 11:33:10","4","1","799","1965"
"194","2026-01-13 11:33:10","8","1","571","2477"
"195","2026-01-13 11:33:10","1","1","964","365"
"196","2026-01-13 11:33:10","1","1","1002","998"
"197","2026-01-13 11:33:10","8","0","1993","2531"
"198","2026-01-13 11:33:10","4","1","2244","524"
"199","2026-01-13 11:33:10","10","1","1677","1444"
"200","2026-01-13 11:33:10","1","1","3197","2789"
"201","2026-01-13 11:33:10","9","1","602","2811"
"202","2026-01-13 11:33:10","4","1","632","1400"
"203","2026-01-13 11:33:10","7","1","1291","2493"
"204","2026-01-13 11:33:10","8","1","1579","1486"
"205","2026-01-13 11:33:10","6","1","275","1030"
"206","2026-01-13 11:33:10","7","1","3000","2750"
"207","2026-01-13 11:33:10","1","1","3263","3141"
"208","2026-01-13 11:33:10","5","0","2996","1203"
"209","2026-01-13 11:33:10","4","1","3213","1489"
"210","2026-01-13 11:33:10","9","1","2703","3179"
"211","2026-01-13 11:33:10","1","1","240","3043"
"212","2026-01-13 11:33:10","2","1","3284","3020"
"213","2026-01-13 11:33:10","7","1","173","2644"
"214","2026-01-13 11:33:10","7","1","3086","2049"
"215","2026-01-13 11:33:10","6","0","1005","1977"
"216","2026-01-13 11:33:10","5","1","1477","2131"
"217","2026-01-13 11:33:10","6","1","1618","582"
"218","2026-01-13 11:33:10","6","1","1845","283"
"219","2026-01-13 11:33:10","3","1","1731","3037"
"220","2026-01-13 11:33:10","8","1","933","2117"
"221","2026-01-13 11:33:10","8","1","2871","3285"
"222","2026-01-13 11:33:10","10","1","2608","2078"
"223","2026-01-13 11:33:10","4","1","1965","25"
"224","2026-01-13 11:33:10","7","1","2662","100"
"225","2026-01-13 11:33:10","4","1","424","2012"
"226","2026-01-13 11:33:10","5","1","3156","2066"
"227","2026-01-13 11:33:10","10","1","1277","2069"
"228","2026-01-13 11:33:10","7","1","2265","2242"
"229","2026-01-13 11:33:10","10","1","130","1294"
"230","2026-01-13 11:33:10","10","1","1020","2207"
"231","2026-01-13 11:33:10","4","0","2383","2126"
"232","2026-01-13 11:33:10","10","1","1341","303"
"233","2026-01-13 11:33:10","9","1","262","1666"
"234","2026-01-13 11:33:10","5","0","958","3303"
"235","2026-01-13 11:33:10","9","1","608","1450"
"236","2026-01-13 11:33:10","9","1","941","3042"
"237","2026-01-13 11:33:10","10","1","192","2550"
"238","2026-01-13 11:33:10","7","1","2887","1457"
"239","2026-01-13 11:33:10","2","1","1208","3122"
"240","2026-01-13 11:33:10","1","0","265","2918"
"241","2026-01-13 11:33:10","10","1","3066","1325"
"242","2026-01-13 11:33:10","7","1","142","1258"
"243","2026-01-13 11:33:10","8","1","121","646"
"244","2026-01-13 11:33:10","4","1","24","2948"
"245","2026-01-13 11:33:10","4","1","1759","2007"
"246","2026-01-13 11:33:10","9","0","1211","2766"
"247","2026-01-13 11:33:10","9","1","2804","2652"
"248","2026-01-13 11:33:10","9","1","181","2072"
"249","2026-01-13 11:33:10","7","0","1518","2346"
"250","2026-01-13 11:33:10","6","1","2649","75"
"251","2026-01-13 11:33:10","8","0","2222","2077"
"252","2026-01-13 11:33:10","2","1","707","3077"
"253","2026-01-13 11:33:10","9","1","2324","348"
"254","2026-01-13 11:33:10","3","1","3044","141"
"255","2026-01-13 11:33:11","7","1","2449","3280"
"256","2026-01-13 11:33:11","10","1","3313","281"
"257","2026-01-13 11:33:11","6","1","1327","535"
"258","2026-01-13 11:33:11","5","1","3281","784"
"259","2026-01-13 11:33:11","8","1","1211","1992"
"260","2026-01-13 11:33:11","5","1","2693","3122"
"261","2026-01-13 11:33:11","9","0","2173","2674"
"262","2026-01-13 11:33:11","2","0","616","1045"
"263","2026-01-13 11:33:11","9","1","1889","1572"
"264","2026-01-13 11:33:11","2","1","1288","1055"
"265","2026-01-13 11:33:11","3","1","1865","1002"
"266","2026-01-13 11:33:11","4","1","2062","1461"
"267","2026-01-13 11:33:11","7","1","2728","3317"
"268","2026-01-13 11:33:11","6","1","1811","2839"
"269","2026-01-13 11:33:11","3","1","175","1665"
"270","2026-01-13 11:33:11","1","1","3272","1024"
"271","2026-01-13 11:33:11","7","1","1329","2967"
"272","2026-01-13 11:33:11","8","1","826","1439"
"273","2026-01-13 11:33:11","7","1","2179","3098"
"274","2026-01-13 11:33:11","9","1","497","2737"
"275","2026-01-13 11:33:11","7","1","576","1248"
"276","2026-01-13 11:33:11","5","0","565","3029"
"277","2026-01-13 11:33:11","7","1","467","1175"
"278","2026-01-13 11:33:11","9","1","851","1019"
"279","2026-01-13 11:33:11","1","1","639","901"
"280","2026-01-13 11:33:11","9","1","90","3071"
"281","2026-01-13 11:33:11","3","1","2463","353"
"282","2026-01-13 11:33:11","4","1","924","2192"
"283","2026-01-13 11:33:11","2","1","623","3331"
"284","2026-01-13 11:33:11","10","1","1998","1508"
"285","2026-01-13 11:33:11","6","1","1407","741"
"286","2026-01-13 11:33:11","1","0","835","1936"
"287","2026-01-13 11:33:11","5","1","2131","462"
"288","2026-01-13 11:33:11","4","1","3214","1494"
"289","2026-01-13 11:33:11","10","1","3087","1496"
"290","2026-01-13 11:33:11","10","1","1668","1882"
"291","2026-01-13 11:33:11","3","1","2020","958"
"292","2026-01-13 11:33:11","1","1","1035","2839"
"293","2026-01-13 11:33:11","3","1","1385","2797"
"294","2026-01-13 11:33:11","10","0","983","2630"
"295","2026-01-13 11:33:11","6","1","1662","2282"
"296","2026-01-13 11:33:11","6","1","377","2764"
"297","2026-01-13 11:33:11","6","1","1081","3245"
"298","2026-01-13 11:33:11","2","1","268","2475"
"299","2026-01-13 11:33:11","3","1","804","2704"
"300","2026-01-13 11:33:11","8","0","526","316"
"301","2026-01-13 11:33:11","7","0","1966","2645"
"302","2026-01-13 11:33:11","6","1","1498","1404"
"303","2026-01-13 11:33:11","7","1","1166","584"
"304","2026-01-13 11:33:11","6","1","1804","2984"
"305","2026-01-13 11:33:11","6","1","1071","2932"
"306","2026-01-13 11:33:11","1","1","1202","681"
"307","2026-01-13 11:33:11","9","0","2016","2566"
"308","2026-01-13 11:33:11","7","1","727","1654"
"309","2026-01-13 11:33:11","5","0","2537","2865"
"310","2026-01-13 11:33:11","8","1","1373","1958"
"311","2026-01-13 11:33:11","9","1","2028","2719"
"312","2026-01-13 11:33:11","3","1","1094","628"
"313","2026-01-13 11:33:11","3","1","766","1625"
"314","2026-01-13 11:33:11","2","1","555","3278"
"315","2026-01-13 11:33:11","5","1","1458","2576"
"316","2026-01-13 11:33:11","10","1","1786","1218"
"317","2026-01-13 11:33:11","9","1","1113","2251"
"318","2026-01-13 11:33:11","1","1","388","125"
"319","2026-01-13 11:33:11","10","0","2917","474"
"320","2026-01-13 11:33:11","3","1","2461","2318"
"321","2026-01-13 11:33:11","7","1","1102","3276"
"322","2026-01-13 11:33:11","10","1","1856","2627"
"323","2026-01-13 11:33:11","6","0","454","2369"
"324","2026-01-13 11:33:11","9","1","1792","3010"
"325","2026-01-13 11:33:11","4","1","1071","625"
"326","2026-01-13 11:33:11","9","1","1997","283"
"327","2026-01-13 11:33:11","10","1","1679","2961"
"328","2026-01-13 11:33:11","5","1","517","2686"
"329","2026-01-13 11:33:11","6","0","1095","1432"
"330","2026-01-13 11:33:11","9","0","437","280"
"331","2026-01-13 11:33:11","7","1","1040","3085"
"332","2026-01-13 11:33:11","7","0","1110","2066"
"333","2026-01-13 11:33:11","4","1","3045","2128"
"334","2026-01-13 11:33:11","3","1","1187","2514"
"335","2026-01-13 11:33:11","8","1","504","3333"
"336","2026-01-13 11:33:11","2","0","6","2751"
"337","2026-01-13 11:33:11","8","1","960","164"
"338","2026-01-13 11:33:11","5","1","2156","3199"
"339","2026-01-13 11:33:11","2","1","1586","498"
"340","2026-01-13 11:33:11","6","1","2648","1732"
"341","2026-01-13 11:33:11","7","1","3071","225"
"342","2026-01-13 11:33:11","4","1","2009","65"
"343","2026-01-13 11:33:11","8","1","222","575"
"344","2026-01-13 11:33:11","1","1","3280","1790"
"345","2026-01-13 11:33:11","1","1","274","801"
"346","2026-01-13 11:33:11","4","1","1369","2959"
"347","2026-01-13 11:33:11","7","1","776","172"
"348","2026-01-13 11:33:11","9","0","1761","2393"
"349","2026-01-13 11:33:11","8","1","1130","276"
"350","2026-01-13 11:33:11","1","1","1593","632"
"351","2026-01-13 11:33:11","2","1","1555","1090"
"352","2026-01-13 11:33:11","1","1","869","2415"
"353","2026-01-13 11:33:11","9","0","2060","21"
"354","2026-01-13 11:33:11","2","1","2681","1401"
"355","2026-01-13 11:33:11","9","1","2758","2007"
"356","2026-01-13 11:33:11","9","1","1964","1471"
"357","2026-01-13 11:33:11","7","1","148","2015"
"358","2026-01-13 11:33:11","5","1","1614","1771"
"359","2026-01-13 11:33:11","2","1","1688","871"
"360","2026-01-13 11:33:11","6","1","1357","1911"
"361","2026-01-13 11:33:11","2","1","1985","1527"
"362","2026-01-13 11:33:11","2","1","731","2190"
"363","2026-01-13 11:33:11","3","1","3165","828"
"364","2026-01-13 11:33:11","4","1","3044","3037"
"365","2026-01-13 11:33:11","8","1","931","1202"
"366","2026-01-13 11:33:11","10","1","2739","2927"
"367","2026-01-13 11:33:11","1","1","658","5"
"368","2026-01-13 11:33:11","3","1","347","1038"
"369","2026-01-13 11:33:11","5","1","2371","2296"
"370","2026-01-13 11:33:11","3","1","1620","3269"
"371","2026-01-13 11:33:11","9","1","264","1822"
"372","2026-01-13 11:33:11","6","0","2387","190"
"373","2026-01-13 11:33:11","9","1","518","791"
"374","2026-01-13 11:33:11","4","1","950","2522"
"375","2026-01-13 11:33:11","8","1","301","1079"
"376","2026-01-13 11:33:11","10","1","2696","2438"
"377","2026-01-13 11:33:11","10","1","322","2034"
"378","2026-01-13 11:33:11","3","1","1947","2"
"379","2026-01-13 11:33:11","1","1","1671","2514"
"380","2026-01-13 11:33:11","1","1","1932","2228"
"381","2026-01-13 11:33:11","5","1","771","441"
"382","2026-01-13 11:33:11","2","1","988","542"
"383","2026-01-13 11:33:11","8","1","2922","3318"
"384","2026-01-13 11:33:11","5","1","2347","912"
"385","2026-01-13 11:33:11","4","0","1655","420"
"386","2026-01-13 11:33:11","3","1","654","35"
"387","2026-01-13 11:33:11","9","1","129","1119"
"388","2026-01-13 11:33:11","8","1","1118","878"
"389","2026-01-13 11:33:11","10","1","2918","310"
"390","2026-01-13 11:33:11","10","1","187","1791"
"391","2026-01-13 11:33:11","7","1","1091","2362"
"392","2026-01-13 11:33:11","6","1","2362","1696"
"393","2026-01-13 11:33:11","3","1","1831","218"
"394","2026-01-13 11:33:11","6","1","3223","770"
"395","2026-01-13 11:33:11","4","1","443","3088"
"396","2026-01-13 11:33:11","3","1","762","3288"
"397","2026-01-13 11:33:11","5","1","2088","1042"
"398","2026-01-13 11:33:11","8","1","1175","1068"
"399","2026-01-13 11:33:11","10","0","525","1715"
"400","2026-01-13 11:33:11","1","0","1581","1690"
"401","2026-01-13 11:33:11","4","1","2916","822"
"402","2026-01-13 11:33:11","6","1","2261","1631"
"403","2026-01-13 11:33:11","3","0","2437","2914"
"404","2026-01-13 11:33:11","6","1","2672","690"
"405","2026-01-13 11:33:12","3","1","2452","348"
"406","2026-01-13 11:33:12","1","1","1161","3223"
"407","2026-01-13 11:33:12","4","1","2894","662"
"408","2026-01-13 11:33:12","1","1","1894","2670"
"409","2026-01-13 11:33:12","10","1","1941","2074"
"410","2026-01-13 11:33:12","8","1","2273","1814"
"411","2026-01-13 11:33:12","9","1","2274","624"
"412","2026-01-13 11:33:12","7","0","2488","282"
"413","2026-01-13 11:33:12","1","1","2512","2623"
"414","2026-01-13 11:33:12","4","0","25","70"
"415","2026-01-13 11:33:12","1","1","1653","1445"
"416","2026-01-13 11:33:12","7","1","1473","3074"
"417","2026-01-13 11:33:12","10","1","1412","505"
"418","2026-01-13 11:33:12","7","0","1489","959"
"419","2026-01-13 11:33:12","5","0","2802","1074"
"420","2026-01-13 11:33:12","6","1","429","684"
"421","2026-01-13 11:33:12","3","0","3324","786"
"422","2026-01-13 11:33:12","7","1","1919","656"
"423","2026-01-13 11:33:12","4","1","2319","1330"
"424","2026-01-13 11:33:12","5","1","3260","2901"
"425","2026-01-13 11:33:12","1","1","397","576"
"426","2026-01-13 11:33:12","8","1","1894","2621"
"427","2026-01-13 11:33:12","6","1","699","2377"
"428","2026-01-13 11:33:12","9","1","2963","2757"
"429","2026-01-13 11:33:12","3","1","2981","2974"
"430","2026-01-13 11:33:12","10","0","2462","162"
"431","2026-01-13 11:33:12","10","0","2884","1195"
"432","2026-01-13 11:33:12","7","1","3181","146"
"433","2026-01-13 11:33:12","4","1","605","3188"
"434","2026-01-13 11:33:12","9","1","2944","1528"
"435","2026-01-13 11:33:12","3","0","860","2595"
"436","2026-01-13 11:33:12","5","1","3062","2765"
"437","2026-01-13 11:33:12","1","1","602","1628"
"438","2026-01-13 11:33:12","10","1","1589","922"
"439","2026-01-13 11:33:12","8","0","2759","1085"
"440","2026-01-13 11:33:12","7","1","979","773"
"441","2026-01-13 11:33:12","2","1","2144","431"
"442","2026-01-13 11:33:12","6","1","2751","1806"
"443","2026-01-13 11:33:12","9","1","3269","992"
"444","2026-01-13 11:33:12","2","1","1798","636"
"445","2026-01-13 11:33:12","9","1","1709","841"
"446","2026-01-13 11:33:12","8","1","440","262"
"447","2026-01-13 11:33:12","7","0","2451","1473"
"448","2026-01-13 11:33:12","9","1","1533","719"
"449","2026-01-13 11:33:12","7","1","479","577"
"450","2026-01-13 11:33:12","8","1","3226","2917"
"451","2026-01-13 11:33:12","3","1","911","505"
"452","2026-01-13 11:33:12","9","1","1124","3324"
"453","2026-01-13 11:33:12","7","1","1648","2731"
"454","2026-01-13 11:33:12","9","1","706","758"
"455","2026-01-13 11:33:12","1","1","2009","1834"
"456","2026-01-13 11:33:12","7","0","1687","1092"
"457","2026-01-13 11:33:12","10","1","2407","2536"
"458","2026-01-13 11:33:12","6","0","2088","1357"
"459","2026-01-13 11:33:12","9","1","1120","3319"
"460","2026-01-13 11:33:12","10","1","1451","1887"
"461","2026-01-13 11:33:12","7","1","206","1756"
"462","2026-01-13 11:33:12","9","0","3168","2585"
"463","2026-01-13 11:33:12","5","1","3140","991"
"464","2026-01-13 11:33:12","7","1","277","586"
"465","2026-01-13 11:33:12","9","1","692","602"
"466","2026-01-13 11:33:12","2","1","1461","2086"
"467","2026-01-13 11:33:12","6","1","1686","3206"
"468","2026-01-13 11:33:12","6","1","3314","829"
"469","2026-01-13 11:33:12","1","1","33","1244"
"470","2026-01-13 11:33:12","10","1","2669","2724"
"471","2026-01-13 11:33:12","4","1","2644","196"
"472","2026-01-13 11:33:12","4","1","708","2966"
"473","2026-01-13 11:33:12","1","1","1712","1327"
"474","2026-01-13 11:33:12","5","1","3051","1397"
"475","2026-01-13 11:33:12","7","1","1290","1581"
"476","2026-01-13 11:33:12","8","1","1733","2363"
"477","2026-01-13 11:33:12","10","1","46","2299"
"478","2026-01-13 11:33:12","5","1","2003","374"
"479","2026-01-13 11:33:12","4","0","3308","2006"
"480","2026-01-13 11:33:12","1","1","2222","922"
"481","2026-01-13 11:33:12","10","1","935","479"
"482","2026-01-13 11:33:12","3","1","465","2785"
"483","2026-01-13 11:33:12","1","1","485","2920"
"484","2026-01-13 11:33:12","7","1","2013","2531"
"485","2026-01-13 11:33:12","1","1","942","1565"
"486","2026-01-13 11:33:12","1","1","3196","1727"
"487","2026-01-13 11:33:12","4","1","3099","2020"
"488","2026-01-13 11:33:12","2","1","731","3099"
"489","2026-01-13 11:33:12","7","1","2866","2664"
"490","2026-01-13 11:33:12","4","1","580","2720"
"491","2026-01-13 11:33:12","10","1","82","346"
"492","2026-01-13 11:33:12","1","1","829","1639"
"493","2026-01-13 11:33:12","1","0","973","675"
"494","2026-01-13 11:33:12","9","0","3221","2019"
"495","2026-01-13 11:33:12","6","1","2580","1237"
"496","2026-01-13 11:33:12","1","1","588","715"
"497","2026-01-13 11:33:12","4","0","2462","1573"
"498","2026-01-13 11:33:12","9","1","274","1677"
"499","2026-01-13 11:33:12","6","1","1171","877"
"500","2026-01-13 11:33:12","5","1","2690","1600"
"501","2026-01-13 11:33:12","6","1","1106","992"
"502","2026-01-13 11:33:12","9","1","1247","530"
"503","2026-01-13 11:33:12","4","1","1403","1468"
"504","2026-01-13 11:33:12","8","1","192","541"
"505","2026-01-13 11:33:12","3","1","2026","3085"
"506","2026-01-13 11:33:12","1","1","2711","1100"
"507","2026-01-13 11:33:12","5","0","2264","700"
"508","2026-01-13 11:33:12","4","1","334","735"
"509","2026-01-13 11:33:12","5","1","1060","1856"
"510","2026-01-13 11:33:12","1","1","3002","231"
"511","2026-01-13 11:33:12","6","1","433","2041"
"512","2026-01-13 11:33:12","5","1","2001","1439"
"513","2026-01-13 11:33:12","9","0","1273","1457"
"514","2026-01-13 11:33:12","10","1","1031","2965"
"515","2026-01-13 11:33:12","7","1","360","2459"
"516","2026-01-13 11:33:12","5","1","3181","3144"
"517","2026-01-13 11:33:12","2","1","2024","2457"
"518","2026-01-13 11:33:12","6","1","3188","1506"
"519","2026-01-13 11:33:12","5","1","2693","841"
"520","2026-01-13 11:33:12","6","1","2099","2879"
"521","2026-01-13 11:33:12","7","1","1622","2562"
"522","2026-01-13 11:33:12","3","1","3002","2241"
"523","2026-01-13 11:33:12","3","1","1474","1191"
"524","2026-01-13 11:33:12","3","1","2454","43"
"525","2026-01-13 11:33:12","9","1","2092","1406"
"526","2026-01-13 11:33:12","3","0","2111","1937"
"527","2026-01-13 11:33:12","8","1","1352","581"
"528","2026-01-13 11:33:12","6","0","2637","2340"
